"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"wPA6","~","wFV5",1,1,-0.387932154479667,0.175425252683884,-2.21138147754998,0.0270094313977585,-0.731759331718919,-0.0441049772404158,-0.0798330399412435,-0.0798330399412435,-0.0798330399412435
"wFV6","~","wBMI5",1,1,0.0166178628022389,0.0218121124007274,0.761863981669411,0.446141188967478,-0.0261330919299262,0.059368817534404,0.037886737559231,0.037886737559231,0.037886737559231
"wFV6","~","wPA5",1,1,-0.00714621220606559,0.00788730446145848,-0.906039856960733,0.364914756731269,-0.0226050448856263,0.00831262047349511,-0.0316044984754424,-0.0316044984754424,-0.0316044984754424
"wFV6","~","wFV5",1,1,0.0283563200718201,0.0438071671207418,0.647298648498866,0.517438676057999,-0.0575041497495611,0.114216789893201,0.0273803415191539,0.0273803415191539,0.0273803415191539
"wBMI7","~","wBMI6",1,1,0.493871466592501,0.096822612549412,5.10078641330259,3.38245099262835e-07,0.304102633106578,0.683640300078425,0.442843511787111,0.442843511787111,0.442843511787111
"wBMI7","~","wPA6",1,1,-0.0310114960823015,0.0212393389701003,-1.4600970456735,0.14426340446002,-0.0726398355191362,0.0106168433545332,-0.054557047754895,-0.054557047754895,-0.054557047754895
"wBMI7","~","wFV6",1,1,-0.169572486716542,0.0835925262916914,-2.02856037781211,0.0425030877019588,-0.333410827624975,-0.00573414580810921,-0.0635801326218972,-0.0635801326218972,-0.0635801326218972
"wPA7","~","wBMI6",1,1,-0.094168675927392,0.0806036194643411,-1.16829339120499,0.242688440231656,-0.252148867101072,0.0638115152462882,-0.044859164171652,-0.044859164171652,-0.044859164171652
"wPA7","~","wPA6",1,1,0.0822144947949601,0.0812066813395858,1.01241047459088,0.311341832153715,-0.0769476759346488,0.241376665524569,0.0768395651160378,0.0768395651160378,0.0768395651160378
"wPA7","~","wFV6",1,1,-0.0336070927499247,0.172042685115916,-0.195341596344427,0.845125535075059,-0.370804559380686,0.303590373880837,-0.00669430272655679,-0.00669430272655679,-0.00669430272655679
