"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wFV3","=~","FV3",2,2,1,0,NA,NA,1,1,0.460048778219794,0.666617872976547
"wBMI4","=~","BMI4",2,2,1,0,NA,NA,1,1,1.33707508425443,0.307981144870234
"wPA4","=~","PA4",2,2,1,0,NA,NA,1,1,2.35320783992748,0.775595959799684
"wFV4","=~","FV4",2,2,1,0,NA,NA,1,1,0.443375550447621,0.652865125359062
"wBMI5","=~","BMI5",2,2,1,0,NA,NA,1,1,1.16187635331857,0.270789491760667
"wPA5","=~","PA5",2,2,1,0,NA,NA,1,1,2.634846286967,0.808890930064829
"wFV5","=~","FV5",2,2,1,0,NA,NA,1,1,0.467336492051427,0.672423677446586
"wBMI6","=~","BMI6",2,2,1,0,NA,NA,1,1,1.5462620007197,0.350599514152176
"wPA6","=~","PA6",2,2,1,0,NA,NA,1,1,2.05514032053471,0.731577035567982
"wFV6","=~","FV6",2,2,1,0,NA,NA,1,1,0.473208518625685,0.677013151836023
"wBMI7","=~","BMI7",2,2,1,0,NA,NA,1,1,1.63895813973252,0.368828666071378
"wPA7","=~","PA7",2,2,1,0,NA,NA,1,1,2.043200515222,0.729592290408372
"wFV7","=~","FV7",2,2,1,0,NA,NA,1,1,0.4842440351532,0.685429230223144
"wBMI2","~","wBMI1",2,2,0.583806843433693,0.075463398234164,7.73629146175119,1.02140518265514e-14,0.435901300743728,0.731712386123658,0.657966354631371,0.657966354631371
"wBMI2","~","wPA1",2,2,-0.0312947058690982,0.0224342827655768,-1.39495013930719,0.163030875812087,-0.0752650921086163,0.0126756803704199,-0.0452047998863886,-0.0452047998863886
"wBMI2","~","wFV1",2,2,-0.0949764454472416,0.109148613196354,-0.870157143237203,0.384214533048971,-0.308903796274588,0.118950905380105,-0.0298751547554353,-0.0298751547554353
