"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wFV3","~","wPA2",0.00380636092490251,0.00454871490259149,0.836799185355397,0.402705455397773,-0.00510895646011742,0.0127216783099224,0.0188411430128535,0.0188411430128535
"wFV3","~","wFV2",0.113255851323499,0.023181552074232,4.88560261024934,1.03112986993281e-06,0.0678208441522643,0.158690858494733,0.117388430712665,0.117388430712665
"wBMI4","~","wBMI3",0.373636686783682,0.0541522565462269,6.8997436231439,5.20961052075108e-12,0.267500214271504,0.47977315929586,0.398354478565505,0.398354478565505
"wBMI4","~","wPA3",-0.0280396671792946,0.0130243167705043,-2.15287048628877,0.031328858591527,-0.0535668589727241,-0.00251247538586512,-0.054397258494286,-0.054397258494286
"wBMI4","~","wFV3",-0.0695937416786037,0.0505962566545974,-1.37547214517658,0.168985115624746,-0.16876058247416,0.0295730991169522,-0.0293134539657022,-0.0293134539657022
"wPA4","~","wBMI3",-0.0670195323204826,0.0593506885669818,-1.12921238049068,0.258808252279593,-0.18334474436942,0.0493056797284547,-0.0345873083598424,-0.0345873083598424
"wPA4","~","wPA3",0.335250152763558,0.0643678482511291,5.20834798540399,1.90529351407065e-07,0.209091488429006,0.461408817098111,0.314824356153285,0.314824356153285
"wPA4","~","wFV3",0.0428440799263469,0.0942478192707289,0.454589615524964,0.649404506992082,-0.141878251465722,0.227566411318416,0.00873540025205038,0.00873540025205038
"wFV4","~","wBMI3",0.00794841918748866,0.0112445953524062,0.70686573757301,0.479649917794244,-0.014090582723954,0.0299874210989313,0.0206379165124136,0.0206379165124136
"wFV4","~","wPA3",0.00941264288040765,0.00470704493389532,1.999692591126,0.0455334687066866,0.000187004336361112,0.0186382814244542,0.0444713830750495,0.0444713830750495
"wFV4","~","wFV3",0.0931916349156415,0.0222596914394594,4.18656454286882,2.83208425788661e-05,0.0495634413873264,0.136819828443956,0.095595760879563,0.095595760879563
"wBMI5","~","wBMI4",0.327346645441854,0.0776466578859544,4.2158497783981,2.48839371199683e-05,0.175161992465481,0.479531298418228,0.324513143785954,0.324513143785954
"wBMI5","~","wPA4",-0.0123513795340614,0.0111735111491352,-1.10541613725577,0.268979314508041,-0.0342510589672231,0.0095482998991004,-0.0252955823937398,-0.0252955823937398
"wBMI5","~","wFV4",-0.0222738946081403,0.0651680264667673,-0.341791762245539,0.732507609430316,-0.150000879426557,0.105453090210277,-0.00906683392781143,-0.00906683392781143
"wPA5","~","wBMI4",-0.00345817191531662,0.0584667314469117,-0.0591476867226051,0.952834476587357,-0.118050859845039,0.111134516014406,-0.0017050346371961,-0.0017050346371961
"wPA5","~","wPA4",0.0877622703474096,0.0554035954241549,1.58405370040564,0.113181499284237,-0.0208267812979622,0.196351321992781,0.0893921319343366,0.0893921319343366
"wPA5","~","wFV4",-0.116721132416571,0.0965966763066599,-1.20833487112976,0.226918480463925,-0.306047139003898,0.0726048741707557,-0.0236304081286637,-0.0236304081286637
"wFV5","~","wBMI4",-0.0337875495563148,0.0128401072732018,-2.63140710878885,0.00850321088632966,-0.0589536973694212,-0.00862140174320835,-0.0811687115624722,-0.0811687115624722
"wFV5","~","wPA4",0.00561541858753122,0.00409978760965726,1.36968524279253,0.170785177248096,-0.00242001747166056,0.013650854646723,0.0278688411820088,0.0278688411820088
"wFV5","~","wFV4",0.0998149037418634,0.0239462053720218,4.1682973227351,3.06883466067998e-05,0.0528812036463012,0.146748603837426,0.0984605942215348,0.0984605942215348
"wBMI6","~","wBMI5",0.549341895779161,0.0698820685645071,7.86098504328148,3.77475828372553e-15,0.412375558227568,0.686308233330753,0.474166845844966,0.474166845844966
"wBMI6","~","wPA5",-0.00440318436119034,0.0103453777423693,-0.425618519772087,0.670385843170617,-0.0246797521426965,0.0158733834203159,-0.0076417548765561,-0.0076417548765561
"wBMI6","~","wFV5",-0.158327526011564,0.0569076742001784,-2.78218233721222,0.00539946949713177,-0.269864517887852,-0.0467905341352748,-0.056394575074302,-0.056394575074302
"wPA6","~","wBMI5",0.0247916121710862,0.0510397828971198,0.485731144684889,0.627157798794473,-0.075244524086012,0.124827748428184,0.0134051409434775,0.0134051409434775
"wPA6","~","wPA5",0.21154427136662,0.0505087333529034,4.18827116270299,2.81087544724556e-05,0.112548973090193,0.310539569643048,0.229988253251891,0.229988253251891
"wPA6","~","wFV5",-0.170787981866578,0.103367147929841,-1.65224624348249,0.0984843629428309,-0.37338386899369,0.0318079052605341,-0.0381080180595429,-0.0381080180595429
"wFV6","~","wBMI5",-0.0145922783242832,0.0124980273927762,-1.16756651795446,0.242981662402046,-0.0390879618919197,0.0099034052433532,-0.0347854078292818,-0.0347854078292818
"wFV6","~","wPA5",-0.00807215288040563,0.00474872352485911,-1.69985741181787,0.0891577493418587,-0.0173794799616676,0.00123517420085632,-0.038690215076366,-0.038690215076366
"wFV6","~","wFV5",0.0746813138694425,0.0255536611541154,2.92252892526969,0.00347201370122519,0.0245970583342362,0.124765569404649,0.073464645166566,0.073464645166566
"wBMI7","~","wBMI6",0.593338560478158,0.049277867124944,12.0406704895272,0,0.496755715678318,0.689921405277999,0.549441423082197,0.549441423082197
"wBMI7","~","wPA6",0.000831384995562942,0.0136632847890169,0.0608481055910684,0.951480178548669,-0.0259481611014242,0.0276109310925501,0.0012289744506067,0.0012289744506067
"wBMI7","~","wFV6",-0.121012547271512,0.0523946377425738,-2.3096361094445,0.0209083087148094,-0.22370415022998,-0.0183209443130447,-0.0405754827050662,-0.0405754827050662
"wPA7","~","wBMI6",-0.0414429528996068,0.0397063877293828,-1.04373515873716,0.2966079384572,-0.11926604280538,0.0363801370061667,-0.0245624144034625,-0.0245624144034625
"wPA7","~","wPA6",0.174381227001777,0.0489441821742142,3.56285914393412,0.000366837534726105,0.0784523926875494,0.270310061316004,0.164984041692532,0.164984041692532
